"Datum","Station","Anzahl","Temperatur"
2017-01-02,31600,19,5
2017-01-02,31603,19,5
2017-01-02,31613,14,5
2017-01-02,31616,12,5
2017-01-02,31623,16,5
2017-01-02,31624,10,5
2017-01-02,31627,11,5
2017-01-02,31628,6,5
2017-01-03,31101,40,6.11111111111111
2017-01-03,31104,30,6.11111111111111
2017-01-03,31108,23,6.11111111111111
2017-01-03,31109,20,6.11111111111111
2017-01-03,31110,30,6.11111111111111
2017-01-03,31124,29,6.11111111111111
2017-01-03,31200,52,6.11111111111111
2017-01-03,31201,53,6.11111111111111
2017-01-03,31202,38,6.11111111111111
2017-01-03,31203,27,6.11111111111111
2017-01-03,31212,27,6.11111111111111
2017-01-03,31213,23,6.11111111111111
2017-01-03,31214,30,6.11111111111111
2017-01-03,31218,31,6.11111111111111
2017-01-03,31219,13,6.11111111111111
2017-01-03,31222,21,6.11111111111111
2017-01-03,31228,30,6.11111111111111
2017-01-03,31229,45,6.11111111111111
2017-01-03,31230,34,6.11111111111111
2017-01-03,31231,28,6.11111111111111
2017-01-03,31232,8,6.11111111111111
2017-01-03,31238,26,6.11111111111111
2017-01-03,31241,49,6.11111111111111
2017-01-03,31243,23,6.11111111111111
2017-01-03,31244,27,6.11111111111111
2017-01-03,31246,17,6.11111111111111
2017-01-03,31247,16,6.11111111111111
2017-01-03,31248,11,6.11111111111111
2017-01-03,31249,19,6.11111111111111
2017-01-03,31257,28,6.11111111111111
2017-01-03,31258,23,6.11111111111111
2017-01-03,31265,24,6.11111111111111
2017-01-03,31266,33,6.11111111111111
2017-01-03,31267,22,6.11111111111111
2017-01-03,31271,17,6.11111111111111
2017-01-03,31272,28,6.11111111111111
2017-01-03,31277,21,6.11111111111111
2017-01-03,31278,21,6.11111111111111
2017-01-03,31281,22,6.11111111111111
2017-01-03,31288,18,6.11111111111111
2017-01-03,31289,14,6.11111111111111
2017-01-03,31290,16,6.11111111111111
2017-01-03,31600,36,6.11111111111111
2017-01-03,31603,41,6.11111111111111
2017-01-03,31613,38,6.11111111111111
2017-01-03,31616,26,6.11111111111111
2017-01-03,31623,122,6.11111111111111
2017-01-03,31624,38,6.11111111111111
2017-01-03,31627,22,6.11111111111111
2017-01-03,31628,23,6.11111111111111
2017-01-04,31101,82,8.33333333333333
2017-01-04,31104,47,8.33333333333333
2017-01-04,31108,57,8.33333333333333
2017-01-04,31109,61,8.33333333333333
2017-01-04,31110,51,8.33333333333333
2017-01-04,31124,53,8.33333333333333
2017-01-04,31200,92,8.33333333333333
2017-01-04,31201,91,8.33333333333333
2017-01-04,31202,42,8.33333333333333
2017-01-04,31203,50,8.33333333333333
2017-01-04,31212,55,8.33333333333333
2017-01-04,31213,42,8.33333333333333
2017-01-04,31214,57,8.33333333333333
2017-01-04,31218,46,8.33333333333333
2017-01-04,31219,25,8.33333333333333
2017-01-04,31222,46,8.33333333333333
2017-01-04,31228,48,8.33333333333333
2017-01-04,31229,81,8.33333333333333
2017-01-04,31230,54,8.33333333333333
2017-01-04,31231,51,8.33333333333333
2017-01-04,31232,20,8.33333333333333
2017-01-04,31238,39,8.33333333333333
2017-01-04,31241,96,8.33333333333333
2017-01-04,31243,45,8.33333333333333
2017-01-04,31244,49,8.33333333333333
2017-01-04,31246,28,8.33333333333333
2017-01-04,31247,76,8.33333333333333
2017-01-04,31248,39,8.33333333333333
2017-01-04,31249,43,8.33333333333333
2017-01-04,31257,29,8.33333333333333
2017-01-04,31258,64,8.33333333333333
2017-01-04,31265,59,8.33333333333333
2017-01-04,31266,45,8.33333333333333
2017-01-04,31267,33,8.33333333333333
2017-01-04,31271,40,8.33333333333333
2017-01-04,31272,43,8.33333333333333
2017-01-04,31277,43,8.33333333333333
2017-01-04,31278,41,8.33333333333333
2017-01-04,31281,56,8.33333333333333
2017-01-04,31288,41,8.33333333333333
2017-01-04,31289,64,8.33333333333333
2017-01-04,31290,38,8.33333333333333
2017-01-04,31600,49,8.33333333333333
2017-01-04,31603,70,8.33333333333333
2017-01-04,31613,79,8.33333333333333
2017-01-04,31616,34,8.33333333333333
2017-01-04,31623,225,8.33333333333333
2017-01-04,31624,76,8.33333333333333
2017-01-04,31627,50,8.33333333333333
2017-01-04,31628,36,8.33333333333333
2017-01-05,31101,73,0.555555555555556
2017-01-05,31104,47,0.555555555555556
2017-01-05,31108,38,0.555555555555556
2017-01-05,31109,45,0.555555555555556
2017-01-05,31110,56,0.555555555555556
2017-01-05,31124,53,0.555555555555556
2017-01-05,31200,77,0.555555555555556
2017-01-05,31201,70,0.555555555555556
2017-01-05,31202,41,0.555555555555556
2017-01-05,31203,55,0.555555555555556
2017-01-05,31212,51,0.555555555555556
2017-01-05,31213,55,0.555555555555556
2017-01-05,31214,54,0.555555555555556
2017-01-05,31218,45,0.555555555555556
2017-01-05,31219,30,0.555555555555556
2017-01-05,31222,36,0.555555555555556
2017-01-05,31228,39,0.555555555555556
2017-01-05,31229,69,0.555555555555556
2017-01-05,31230,46,0.555555555555556
2017-01-05,31231,39,0.555555555555556
2017-01-05,31232,28,0.555555555555556
2017-01-05,31238,40,0.555555555555556
2017-01-05,31241,97,0.555555555555556
2017-01-05,31243,34,0.555555555555556
2017-01-05,31244,32,0.555555555555556
2017-01-05,31246,30,0.555555555555556
2017-01-05,31247,21,0.555555555555556
2017-01-05,31248,24,0.555555555555556
2017-01-05,31249,24,0.555555555555556
2017-01-05,31257,33,0.555555555555556
2017-01-05,31258,30,0.555555555555556
2017-01-05,31265,64,0.555555555555556
2017-01-05,31266,32,0.555555555555556
2017-01-05,31267,32,0.555555555555556
2017-01-05,31271,27,0.555555555555556
2017-01-05,31272,38,0.555555555555556
2017-01-05,31277,43,0.555555555555556
2017-01-05,31278,54,0.555555555555556
2017-01-05,31281,42,0.555555555555556
2017-01-05,31288,14,0.555555555555556
2017-01-05,31289,16,0.555555555555556
2017-01-05,31290,23,0.555555555555556
2017-01-05,31600,64,0.555555555555556
2017-01-05,31603,57,0.555555555555556
2017-01-05,31613,63,0.555555555555556
2017-01-05,31616,42,0.555555555555556
2017-01-05,31623,171,0.555555555555556
2017-01-05,31624,51,0.555555555555556
2017-01-05,31627,36,0.555555555555556
2017-01-05,31628,43,0.555555555555556
2017-01-06,31101,63,-1.11111111111111
2017-01-06,31104,52,-1.11111111111111
2017-01-06,31108,38,-1.11111111111111
2017-01-06,31109,54,-1.11111111111111
2017-01-06,31110,44,-1.11111111111111
2017-01-06,31124,49,-1.11111111111111
2017-01-06,31200,63,-1.11111111111111
2017-01-06,31201,65,-1.11111111111111
2017-01-06,31202,44,-1.11111111111111
2017-01-06,31203,46,-1.11111111111111
2017-01-06,31212,50,-1.11111111111111
2017-01-06,31213,40,-1.11111111111111
2017-01-06,31214,55,-1.11111111111111
2017-01-06,31218,28,-1.11111111111111
2017-01-06,31219,14,-1.11111111111111
2017-01-06,31222,29,-1.11111111111111
2017-01-06,31228,29,-1.11111111111111
2017-01-06,31229,75,-1.11111111111111
2017-01-06,31230,55,-1.11111111111111
2017-01-06,31231,34,-1.11111111111111
2017-01-06,31232,26,-1.11111111111111
2017-01-06,31238,29,-1.11111111111111
2017-01-06,31241,91,-1.11111111111111
2017-01-06,31243,19,-1.11111111111111
2017-01-06,31244,38,-1.11111111111111
2017-01-06,31246,22,-1.11111111111111
2017-01-06,31247,19,-1.11111111111111
2017-01-06,31248,16,-1.11111111111111
2017-01-06,31249,24,-1.11111111111111
2017-01-06,31257,23,-1.11111111111111
2017-01-06,31258,21,-1.11111111111111
2017-01-06,31265,33,-1.11111111111111
2017-01-06,31266,45,-1.11111111111111
2017-01-06,31267,37,-1.11111111111111
2017-01-06,31271,28,-1.11111111111111
2017-01-06,31272,30,-1.11111111111111
2017-01-06,31277,26,-1.11111111111111
2017-01-06,31278,40,-1.11111111111111
2017-01-06,31281,49,-1.11111111111111
2017-01-06,31288,18,-1.11111111111111
2017-01-06,31289,8,-1.11111111111111
2017-01-06,31290,8,-1.11111111111111
2017-01-06,31600,57,-1.11111111111111
2017-01-06,31603,49,-1.11111111111111
2017-01-06,31613,60,-1.11111111111111
2017-01-06,31616,37,-1.11111111111111
2017-01-06,31623,144,-1.11111111111111
2017-01-06,31624,57,-1.11111111111111
2017-01-06,31627,30,-1.11111111111111
2017-01-06,31628,33,-1.11111111111111
2017-01-07,31101,34,-5
2017-01-07,31104,27,-5
2017-01-07,31108,11,-5
2017-01-07,31109,22,-5
2017-01-07,31110,16,-5
2017-01-07,31124,24,-5
2017-01-07,31200,20,-5
2017-01-07,31201,23,-5
2017-01-07,31202,23,-5
2017-01-07,31203,19,-5
2017-01-07,31212,8,-5
2017-01-07,31213,11,-5
2017-01-07,31214,21,-5
2017-01-07,31218,3,-5
2017-01-07,31219,1,-5
2017-01-07,31222,11,-5
2017-01-07,31228,13,-5
2017-01-07,31229,36,-5
2017-01-07,31230,5,-5
2017-01-07,31231,5,-5
2017-01-07,31232,16,-5
2017-01-07,31238,4,-5
2017-01-07,31241,10,-5
2017-01-07,31243,10,-5
2017-01-07,31244,2,-5
2017-01-07,31246,8,-5
